活动类型,日期,我的最爱,标题,距离,热量消耗,时间,平均心率,最大心率,有氧效果,平均配速,最佳配速,Training Stress Score®,总划水次数,平均 Swolf,平均划桨率,减压,最佳单圈时间,圈数,移动时间,全程用时
泳池游泳,2025-08-02 16:44:57,false,"泳池游泳","3,010","915","01:34:58","145","170","3.6","3:06","0:51","0.0","2452","94","26","否","00:00:21.6","9","01:33:21","01:35:08"
泳池游泳,2025-08-01 18:42:08,false,"泳池游泳","2,240","693","01:02:19","151","180","3.9","2:47","0:37","0.0","1592","83","26","否","01:02:19","1","01:02:19","01:02:39"
泳池游泳,2025-07-27 19:35:33,false,"泳池游泳","1,575","467","00:42:54","148","169","3.5","2:43","0:37","0.0","1139","82","27","否","00:00:12.4","3","00:42:42","00:43:22"
泳池游泳,2025-07-27 11:19:39,false,"泳池游泳","1,015","322","00:30:45","147","164","3.2","2:59","2:20","0.0","769","89","25","否","00:00:21.1","3","00:30:16","00:30:53"
泳池游泳,2025-07-26 10:30:43,false,"泳池游泳","1,015","335","00:29:15","152","192","3.6","2:37","0:54","0.0","661","78","25","否","00:00:11.8","19","00:26:33","00:29:42"
泳池游泳,2025-07-20 17:19:03,false,"泳池游泳","1,015","346","00:31:16","147","165","3.5","2:52","0:31","0.0","733","86","25","否","00:00:08.5","15","00:29:10","00:31:21"
泳池游泳,2025-07-19 20:33:28,false,"泳池游泳","1,085","274","00:26:40","144","169","3.3","2:21","0:39","0.0","591","68","23","否","00:00:05.2","9","00:25:28","00:27:25"
泳池游泳,2025-07-13 15:07:16,false,"泳池游泳","1,995","438","00:46:53","137","154","3.0","2:11","0:42","0.0","931","62","21","否","00:00:08.7","24","00:43:42","01:01:37"
泳池游泳,2025-07-12 16:33:46,false,"泳池游泳","3,010","708","01:00:59","156","179","4.5","2:01","0:38","0.0","1285","57","21","否","00:00:24.9","3","01:00:34","01:02:42"
泳池游泳,2025-07-06 10:52:27,true,"泳池游泳","2,555","623","00:56:35","150","176","4.2","2:12","0:41","0.0","1103","61","20","否","00:00:05.2","5","00:56:04","00:57:07"
游泳,2025-07-05 10:57:54,false,"泳池游泳","1,680","383","00:35:34","145","172","3.4","2:06","0:35","0.0","680","58","19","否","00:00:09.0","4","00:35:10","00:36:12"
泳池游泳,2025-07-05 10:21:06,false,"泳池游泳","525","131","00:13:22","133","165","2.3","2:28","0:54","0.0","254","69","20","否","00:00:24.2","2","00:12:57","00:21:11"
泳池游泳,2025-06-29 16:21:36,false,"泳池游泳","1,015","265","00:25:45","139","168","2.9","2:32","0:38","0.0","520","71","20","否","00:25:45","1","00:25:45","00:25:53"
泳池游泳,2025-06-28 10:23:48,false,"泳池游泳","980","308","00:28:25","144","157","3.3","2:48","1:07","0.0","517","77","19","否","00:00:14.1","6","00:27:28","00:28:37"
泳池游泳,2025-06-21 16:46:20,false,"泳池游泳","2,030","642","01:00:12","145","173","3.8","2:49","0:41","0.0","1048","77","18","否","00:00:17.1","15","00:57:11","01:00:26"
泳池游泳,2025-06-14 19:29:46,false,"泳池游泳","1,505","477","00:44:41","145","176","3.6","2:52","1:14","0.0","823","79","19","否","00:00:10.3","8","00:43:07","00:44:50"
泳池游泳,2025-06-07 19:32:23,false,"泳池游泳","1,500","477","00:45:10","144","182","3.6","2:53","1:04","0.0","823","57","19","否","00:00:06.6","12","00:43:15","00:45:28"
泳池游泳,2025-06-02 15:34:02,false,"泳池游泳","1,025","299","00:29:27","139","170","3.0","2:48","0:56","0.0","561","56","20","否","00:00:13.4","7","00:28:37","00:30:42"
泳池游泳,2025-05-27 07:43:34,false,"泳池游泳","1,000","279","00:28:57","136","159","2.9","2:44","0:53","0.0","540","55","20","否","00:00:09.2","8","00:27:20","00:29:11"
泳池游泳,2025-05-25 17:44:16,false,"泳池游泳","1,000","320","00:31:38","141","171","3.0","2:57","1:34","0.0","562","58","19","否","00:00:10.6","14","00:29:27","00:33:45"
泳池游泳,2025-05-24 19:53:13,false,"泳池游泳","1,025","359","00:34:43","142","168","3.1","3:21","2:13","0.0","658","66","19","否","00:00:08.6","4","00:34:17","00:36:35"
泳池游泳,2025-05-21 08:08:46,false,"泳池游泳","1,025","250","00:37:37","112","170","2.4","3:03","0:51","0.0","659","62","21","否","00:00:00.3","28","00:31:22","00:38:45"
泳池游泳,2025-05-20 08:23:56,false,"泳池游泳","1,000","325","00:33:54","136","149","2.7","2:50","1:04","0.0","624","58","22","否","00:00:01.1","24","00:28:20","00:34:32"
泳池游泳,2025-05-18 20:49:17,false,"泳池游泳","100","40","00:03:47.9","139","153","1.0","3:38","3:16","0.0","71","72","20","否","00:00:09.7","2","00:03:38.2","00:04:00.2"
泳池游泳,2025-05-18 20:07:29,false,"泳池游泳","1,050","288","00:33:16","137","154","2.9","2:45","1:18","0.0","580","55","20","否","00:00:16.3","24","00:28:56","00:35:02"
泳池游泳,2025-05-17 19:58:56,false,"泳池游泳","1,050","389","00:39:23","143","158","3.3","3:10","0:57","0.0","688","64","21","否","00:00:10.9","28","00:33:20","00:40:48"
泳池游泳,2025-05-13 08:00:43,false,"泳池游泳","800","263","00:34:29","123","146","2.2","2:19","0:37","0.0","401","47","22","否","00:00:01.7","52","00:18:33","00:37:40"
